0.0       0.268587   	0.0       441.458   	0.112360   8.57143   	0.0       3.11089   
14.9566   2.91802   	14.9344   170.325   	15.0562   285.714   	14.9631   21.0140   
16.7607   4.54684   	16.8455   112.726   	16.9663   357.143   	16.8791   28.2974   
21.3695   5.08615   	21.4426   32.6314   	21.7978   451.429   	21.3821   38.9551   
23.9531   4.92077   	24.0179   6.00488   	24.1573   502.857   	23.9691   42.3293   
40.0190   4.52577   	39.7714   9.14937   	40.1124   600   	39.9334   53.7185      
42.9408   4.63183   	42.7881   9.35670   	43.1461   602.857   	43.1916   53.4440   
48.1105   4.95323   	47.7043   9.69457   	47.9775   605.714   	48.2482   53.9429   
65.0764   4.82917   	64.9111   8.81534   	65.1685   568.571   	65.4393   54.1287   
