0 0.204972 3.75549 445.849 31.5391 0.000938502
3 0.204435 4.91967 389.755 48.809 0.000924658
6 0.203897 5.92076 319.991 70.3987 0.000912368
9 0.203362 6.66059 239.44 95.3974 0.000905317
12 0.202832 7.14849 151.544 122.718 0.000901481
