0	0.5	0.214	73	0	0	
5	0.827324	0.214	69.7211	0.983681	0	
10	1.32992	0.214	64.3786	2.58642	0	
15	2.03187	0.214	56.1894	5.04319	0	
20	2.93561	0.214	44.068	8.6796	0	
25	3.96152	0.214	27.29	13.713	0	
30	4.95208	0.214	6.29374	20.0119	0	
