0.0       0.268587   	0.0       441.458   	0.0       243.991   	0        16.7059   	0.112360   8.57143   	0.0       3.11089   
14.9566   2.91802   	14.9344   170.325   	15.0710   213.068   	14.8037   13.1765   	15.0562   285.714   	14.9631   21.0140   
16.7607   4.54684   	16.8455   112.726   	17.0892   194.610   	16.8224   7.52941   	16.9663   357.143   	16.8791   28.2974   
21.3695   5.08615   	21.4426   32.6314   	21.3490   161.166   	21.4206   6.11765   	21.7978   451.429   	21.3821   38.9551   
23.9531   4.92077   	24.0179   6.00488   	24.0414   128.848   	23.8878   11.7647   	24.1573   502.857   	23.9691   42.3293   
40.0190   4.52577   	39.7714   9.14937   	40.1797   23.9561   	39.8131   4.47059   	40.1124   600   	39.9334   53.7185      
42.9408   4.63183   	42.7881   9.35670   	42.9795   17.0736   	42.7290   4.70588   	43.1461   602.857   	43.1916   53.4440   
48.1105   4.95323   	47.7043   9.69457   	48.0187   6.76603   	48   	  11.5294   	47.9775   605.714   	48.2482   53.9429   
65.0764   4.82917   	64.9111   8.81534   	64.9224   2.46743   	64.8224   49.8824   	65.1685   568.571   	65.4393   54.1287   
